Date,Close/Last,Volume
01/27/2026,$24.21,16600910
01/26/2026,$24.01,37432250
01/23/2026,$22.99,10347470
01/22/2026,$23.14,15762960
01/21/2026,$21.69,8366880
01/20/2026,$21.10,6826516
01/16/2026,$21.10,3731495
01/15/2026,$21.36,4995435
01/14/2026,$21.02,4112831
01/13/2026,$21.02,4121054
01/12/2026,$20.98,3563684
01/09/2026,$21.23,5034887
01/08/2026,$21.42,4131769
01/07/2026,$21.29,10674070
01/06/2026,$20.66,3405040
01/05/2026,$20.72,7673734
01/02/2026,$20.62,4551690
12/31/2025,$20.08,6422287
12/30/2025,$20.50,4569480
12/29/2025,$20.53,6005575
12/26/2025,$21.09,3820404
12/24/2025,$21.53,1781042
12/23/2025,$21.38,4384537
12/22/2025,$21.74,6481133
12/19/2025,$22.51,7379321
12/18/2025,$22.56,4589257
12/17/2025,$23.03,6132226
12/16/2025,$22.28,3922858
12/15/2025,$22.09,8010605
12/12/2025,$21.23,5365898
12/11/2025,$21.86,4645586
12/10/2025,$22.12,11543760
12/09/2025,$23.11,9159102
12/08/2025,$23.35,5318919
12/05/2025,$23.00,5688195
12/04/2025,$22.95,7195815
12/03/2025,$23.21,11079700
12/02/2025,$22.81,8105087
12/01/2025,$22.79,7895904
11/28/2025,$22.53,8789295
11/26/2025,$21.63,4644241
11/25/2025,$21.06,4794851
11/24/2025,$20.49,5577591
11/21/2025,$20.14,5514125
11/20/2025,$19.94,6028877
11/19/2025,$20.42,5194324
11/18/2025,$20.50,3733252
11/17/2025,$20.50,4968176
11/14/2025,$20.66,5887642
11/13/2025,$20.96,7415436
11/12/2025,$21.36,4341284
11/11/2025,$21.45,2856338
11/10/2025,$21.49,4724873
11/07/2025,$21.50,6533306
11/06/2025,$21.35,5718101
11/05/2025,$22.01,3885626
11/04/2025,$21.98,5155852
11/03/2025,$22.11,6276116
10/31/2025,$22.29,4990691
10/30/2025,$22.58,6438442
10/29/2025,$23.38,5696936
10/28/2025,$23.30,7984105
10/27/2025,$23.53,9428707
10/24/2025,$23.30,5771165
10/23/2025,$23.63,10637950
10/22/2025,$22.49,11012890
10/21/2025,$22.80,6387180
10/20/2025,$23.37,4424363
10/17/2025,$23.07,6206263
10/16/2025,$22.95,6549759
10/15/2025,$23.38,5018139
10/14/2025,$23.21,4470901
10/13/2025,$23.59,5772105
10/10/2025,$23.30,9744316
10/09/2025,$24.07,11821160
10/08/2025,$24.41,7183811
10/07/2025,$24.35,10779920
10/06/2025,$25.05,11543450
10/03/2025,$25.38,11615910
10/02/2025,$27.22,14525950
10/01/2025,$27.69,8187127
09/30/2025,$27.28,5392802
09/29/2025,$27.21,7979038
09/26/2025,$26.42,8048334
09/25/2025,$25.27,8210462
09/24/2025,$26.25,5508834
09/23/2025,$26.80,7063968
09/22/2025,$26.78,11263600
09/19/2025,$26.08,9567601
09/18/2025,$25.88,7806246
09/17/2025,$26.10,7897132
09/16/2025,$26.34,9829954
09/15/2025,$25.53,9603984
09/12/2025,$24.93,9320071
09/11/2025,$24.85,12512630
09/10/2025,$24.37,46253970
09/09/2025,$23.59,18374440
09/08/2025,$23.22,10151220
09/05/2025,$22.61,11183340
09/04/2025,$22.37,5531803
09/03/2025,$22.88,9771430
09/02/2025,$23.41,9567042
08/29/2025,$22.41,5371497
08/28/2025,$22.79,6482312
08/27/2025,$22.50,6891997
08/26/2025,$22.30,7867554
08/25/2025,$22.68,3801008
08/22/2025,$22.89,5551442
08/21/2025,$22.56,4090609
08/20/2025,$22.63,4388719
08/19/2025,$22.82,5532814
08/18/2025,$23.11,5107095
08/15/2025,$22.94,4965589
08/14/2025,$22.89,4779950
08/13/2025,$23.02,5349328
08/12/2025,$22.93,4887648
08/11/2025,$22.41,5212532
08/08/2025,$22.27,4833088
08/07/2025,$22.65,4456288
08/06/2025,$22.81,4825043
08/05/2025,$22.81,4981405
08/04/2025,$22.63,5059365
08/01/2025,$22.10,7878440
07/31/2025,$22.45,13749910
07/30/2025,$22.45,7956586
07/29/2025,$22.55,6078838
07/28/2025,$22.98,11481940
07/25/2025,$23.33,7090634
07/24/2025,$23.53,6338139
07/23/2025,$23.96,8305149
07/22/2025,$24.26,12006260
07/21/2025,$24.20,17718370
07/18/2025,$23.28,6628396
07/17/2025,$23.40,7307167
07/16/2025,$23.68,7738267
07/15/2025,$23.22,7321570
07/14/2025,$23.70,7769614
07/11/2025,$23.33,11454090
07/10/2025,$23.10,5990997
07/09/2025,$23.19,14641420
07/08/2025,$22.75,7863631
07/07/2025,$22.62,12873530
07/03/2025,$23.59,5566311
07/02/2025,$23.95,6428597
07/01/2025,$23.68,8308047
06/30/2025,$24.39,10439310
06/27/2025,$23.59,11638240
06/26/2025,$23.88,8777965
06/25/2025,$23.55,9840749
06/24/2025,$23.29,11660170
06/23/2025,$22.82,12120490
06/20/2025,$23.46,19994180
06/18/2025,$23.44,14712150
06/17/2025,$22.99,24797600
06/16/2025,$23.32,31522660
06/13/2025,$22.14,59849890
06/12/2025,$22.14,172324500
06/11/2025,$28.55,18039170
06/10/2025,$30.16,8628692
06/09/2025,$30.34,5836161
06/06/2025,$29.58,4379288
06/05/2025,$29.45,6356776
06/04/2025,$29.95,7313977
06/03/2025,$30.10,6086532
06/02/2025,$30.64,7430729
05/30/2025,$29.80,9393388
05/29/2025,$29.57,15887930
05/28/2025,$31.21,44368758
05/27/2025,$35.02,32095757
05/23/2025,$33.06,29441633
05/22/2025,$30.86,21451030
05/21/2025,$28.05,8762022
05/20/2025,$28.51,4795105
