Date,Close,Volume
08/03/2026,$19.06,41713230
07/31/2026,$21.72,2509275
07/30/2026,$21.88,2360166
07/29/2026,$21.84,2646616
07/28/2026,$22.16,3964863
07/27/2026,$21.52,3907846
07/24/2026,$21.17,2575289
07/23/2026,$21.35,3683579
07/22/2026,$21.60,3171218
07/21/2026,$21.79,2916158
07/20/2026,$21.76,3923265
07/17/2026,$21.89,2624234
07/16/2026,$21.92,3517633
07/15/2026,$22.26,2560795
07/14/2026,$22.43,2782902
07/13/2026,$22.03,2917353
07/10/2026,$21.68,1846396
07/09/2026,$21.95,2625134
07/08/2026,$21.70,3680657
07/07/2026,$22.20,4749559
07/06/2026,$22.76,4089836
07/02/2026,$22.82,4610975
07/01/2026,$22.64,4476002
06/30/2026,$22.08,4358876
06/29/2026,$22.03,4060319
06/26/2026,$21.76,5703117
06/25/2026,$21.01,3832568
06/24/2026,$21.44,3354265
06/23/2026,$21.08,4002844
06/22/2026,$21.14,6373013
06/18/2026,$21.52,9220054
06/17/2026,$21.51,4680323
06/16/2026,$21.46,6375886
06/15/2026,$21.74,4762916
06/12/2026,$21.77,5328346
06/11/2026,$22.18,6013960
06/10/2026,$22.42,4425814
06/09/2026,$22.28,5686183
06/08/2026,$22.26,5115505
06/05/2026,$21.80,6429236
06/04/2026,$22.27,6818945
06/03/2026,$22.18,17884800
06/02/2026,$20.92,6025010
06/01/2026,$21.36,6769737
05/29/2026,$21.18,6486801
05/28/2026,$21.68,3214665
05/27/2026,$21.68,4203461
05/26/2026,$21.91,5875502
05/22/2026,$21.96,5279747
05/21/2026,$22.49,3145271
05/20/2026,$22.55,6327568
05/19/2026,$22.10,4433264
05/18/2026,$21.91,5260619
05/15/2026,$21.59,5346608
05/14/2026,$21.61,5663144
05/13/2026,$22.08,7356934
05/12/2026,$22.37,11936650
05/11/2026,$23.17,17915540
05/08/2026,$24.28,5957749
05/07/2026,$23.97,8794029
05/06/2026,$25.17,11606480
05/05/2026,$24.23,17979580
05/04/2026,$23.84,40178570
05/01/2026,$26.53,20284940
04/30/2026,$24.95,4492523
04/29/2026,$24.52,7071464
04/28/2026,$25.09,4326845
04/27/2026,$25.41,6260405
04/24/2026,$24.95,5148859
04/23/2026,$25.01,8576900
04/22/2026,$25.66,9643688
04/21/2026,$24.46,6472841
04/20/2026,$24.92,6199668
04/17/2026,$24.55,8161048
04/16/2026,$25.18,10701100
04/15/2026,$24.79,11695360
04/14/2026,$24.03,10482680
04/13/2026,$23.40,5516061
04/10/2026,$23.22,5856407
04/09/2026,$22.87,3163769
04/08/2026,$22.91,6788641
04/07/2026,$23.43,10668310
04/06/2026,$23.08,3660083
04/02/2026,$23.36,3855173
04/01/2026,$22.76,4417720
03/31/2026,$23.04,8431059
03/30/2026,$22.27,6651600
03/27/2026,$22.10,5068847
03/26/2026,$22.56,6905942
03/25/2026,$23.08,7850125
03/24/2026,$22.81,8085909
03/23/2026,$23.03,5227260
03/20/2026,$22.57,7088101
03/19/2026,$23.23,5194519
03/18/2026,$23.36,3075865
03/17/2026,$23.59,3078383
03/16/2026,$23.28,6134901
03/13/2026,$23.53,6399440
03/12/2026,$24.43,5201777
03/11/2026,$24.46,5152608
03/10/2026,$24.37,5144420
03/09/2026,$24.80,7210920
03/06/2026,$24.37,5825288
03/05/2026,$23.88,5297088
03/04/2026,$23.87,3485561
03/03/2026,$23.82,4123953
03/02/2026,$24.20,4620636
02/27/2026,$24.03,4338038
02/26/2026,$24.10,5070542
02/25/2026,$24.22,4568075
02/24/2026,$23.77,5466663
02/23/2026,$23.64,5669358
02/20/2026,$23.43,4169423
02/19/2026,$23.90,3626279
02/18/2026,$23.87,5007822
02/17/2026,$23.26,4338340
02/13/2026,$23.57,6331554
02/12/2026,$23.52,6684495
02/11/2026,$24.21,4755915
02/10/2026,$24.82,5797469
02/09/2026,$24.64,5328353
02/06/2026,$24.98,10022600
02/05/2026,$24.69,10155510
02/04/2026,$24.98,9779719
02/03/2026,$24.52,15876420
02/02/2026,$25.85,24507550
01/30/2026,$23.88,16706710
01/29/2026,$22.81,7555114
01/28/2026,$23.64,8514542
01/27/2026,$24.21,16600910
01/26/2026,$24.01,37432250
01/23/2026,$22.99,10347470
01/22/2026,$23.14,15762960
01/21/2026,$21.69,8366880
