Date,Close/Last,Volume,Open,High,Low,TSO,Sales,Equity,Earnings
02/26/2025,$24.61,3272498,$24.54,$25.21,$24.45,446800000,5272800000,4800000000,6700000
02/25/2025,$24.42,6551451,$24.93,$25.29,$23.83,446800000,5272800000,4800000000,6700000
02/24/2025,$25.00,5980021,$26.34,$26.385,$24.95,446800000,5272800000,4800000000,6700000
02/21/2025,$26.42,6130903,$27.25,$27.58,$26.1553,446800000,5272800000,4800000000,6700000
02/20/2025,$27.04,7735228,$25.80,$27.45,$25.76,446800000,5272800000,4800000000,6700000
02/19/2025,$26.00,4382120,$26.80,$26.96,$25.92,446800000,5272800000,4800000000,6700000
02/18/2025,$26.97,5337801,$27.03,$27.59,$26.6608,446800000,5272800000,4800000000,6700000
02/14/2025,$27.00,12142610,$28.90,$28.97,$26.90,446800000,5272800000,4800000000,6700000
02/13/2025,$26.34,8255330,$25.75,$26.40,$25.75,446800000,5272800000,4800000000,6700000
02/12/2025,$25.99,3999243,$26.12,$26.40,$25.60,446800000,5272800000,4800000000,6700000
02/11/2025,$26.56,7042658,$26.85,$27.76,$26.47,446800000,5272800000,4800000000,6700000
02/10/2025,$27.12,9694662,$25.50,$27.27,$25.30,446800000,5272800000,4800000000,6700000
02/07/2025,$24.73,3403304,$24.90,$25.02,$24.60,446800000,5272800000,4800000000,6700000
02/06/2025,$24.80,4349516,$24.93,$25.39,$24.53,446800000,5272800000,4800000000,6700000
02/05/2025,$24.93,4580218,$25.70,$25.809,$24.90,446800000,5272800000,4800000000,6700000
02/04/2025,$25.90,3353742,$25.85,$26.25,$25.80,446800000,5272800000,4800000000,6700000
02/03/2025,$25.89,5740535,$25.57,$26.54,$25.50,446800000,5272800000,4800000000,6700000
01/31/2025,$26.90,4544033,$27.79,$28.18,$26.90,446800000,5272800000,4800000000,6700000
01/30/2025,$27.99,3343948,$27.84,$28.23,$27.7125,446800000,5272800000,4800000000,6700000
01/29/2025,$27.51,3220404,$27.41,$27.74,$27.06,446800000,5272800000,4800000000,6700000
01/28/2025,$27.46,3169854,$27.00,$27.59,$26.6539,446800000,5272800000,4800000000,6700000
01/27/2025,$26.97,5060256,$26.92,$27.6796,$26.80,446800000,5272800000,4800000000,6700000
01/24/2025,$27.77,4511646,$28.30,$28.67,$27.62,446800000,5272800000,4800000000,6700000
01/23/2025,$28.33,8828170,$27.88,$29.26,$27.68,446800000,5272800000,4800000000,6700000
01/22/2025,$27.65,5025385,$27.36,$28.016,$27.30,446800000,5272800000,4800000000,6700000
01/21/2025,$27.47,5867780,$27.40,$27.57,$26.33,446800000,5272800000,4800000000,6700000
01/17/2025,$27.51,8977526,$27.61,$28.7899,$27.02,446800000,5272800000,4800000000,6700000
01/16/2025,$27.72,4431995,$27.94,$28.14,$27.41,446800000,5272800000,4800000000,6700000
01/15/2025,$27.96,6025350,$28.90,$29.33,$27.84,446800000,5272800000,4800000000,6700000
01/14/2025,$27.88,11796600,$31.26,$31.6799,$27.5601,446800000,5272800000,4800000000,6700000
01/13/2025,$31.02,5566985,$31.60,$31.7999,$30.90,446800000,5272800000,4800000000,6700000
01/10/2025,$32.31,7068203,$32.50,$32.94,$31.40,446800000,5272800000,4800000000,6700000
