Date,close,volume
04/13/2021,$141.00,108909888
04/12/2021,$141.08,266937600
04/09/2021,$158.36,151398080
04/08/2021,$170.28,160758240
04/07/2021,$177.96,76292176
04/06/2021,$184.52,99493088
04/05/2021,$186.96,225127840
04/01/2021,$191.44,149349520
03/31/2021,$189.84,134301344
03/30/2021,$194.48,273518720
03/29/2021,$181.32,160674880
03/26/2021,$181.00,598890720
03/25/2021,$183.76,815397440
03/24/2021,$120.36,386846080
03/23/2021,$181.76,230866400
03/22/2021,$194.48,160984160
03/19/2021,$200.28,394836800
03/18/2021,$201.76,188798560
03/17/2021,$209.80,263705440
03/16/2021,$208.16,566765920
03/15/2021,$220.16,387619040
03/12/2021,$264.52,413534400
03/11/2021,$260.00,452999840
03/10/2021,$265.00,1145129120
03/09/2021,$246.92,625589280
03/08/2021,$194.52,1017049920
03/05/2021,$137.76,491738720
03/04/2021,$132.36,521710240
03/03/2021,$124.20,308382080
03/02/2021,$118.20,540528640
03/01/2021,$120.40,796703520
02/26/2021,$101.76,1475106400
02/25/2021,$108.72,2404940800
02/24/2021,$91.72,1329787840
02/23/2021,$44.96,121043440
02/22/2021,$46.00,311616320
02/19/2021,$40.60,237251840
02/18/2021,$40.68,383848960
02/17/2021,$45.96,148172720
02/16/2021,$49.52,130800480
02/12/2021,$52.40,233172160
02/11/2021,$51.12,208907680
02/10/2021,$51.20,583280640
02/09/2021,$50.32,429489280
02/08/2021,$60.00,410996480
02/05/2021,$63.76,1301520160
02/04/2021,$53.52,998836480
02/03/2021,$92.40,683176160
02/02/2021,$90.00,1250929120
02/01/2021,$225.00,598114400
01/29/2021,$325.00,809056960
01/28/2021,$193.60,941052960
01/27/2021,$347.52,1494346720
01/26/2021,$148.00,2857408000
01/25/2021,$76.80,2845984000
01/22/2021,$65.00,3154526400
01/21/2021,$43.04,913276000
01/20/2021,$39.12,535548640
01/19/2021,$39.36,1195550720
01/15/2021,$35.52,749861760
01/14/2021,$39.92,1499478560
01/13/2021,$31.40,2312027200
01/12/2021,$19.96,112970640
01/11/2021,$19.96,238841760
01/08/2021,$17.68,103711360
01/07/2021,$18.08,98068416
01/06/2021,$18.36,96899968
01/05/2021,$17.36,79383312
01/04/2021,$17.24,160359520
12/31/2020,$18.84,110762432
12/30/2020,$19.28,94950256
12/29/2020,$19.40,147863056
12/28/2020,$21.00,143453728
12/24/2020,$20.16,100194784
12/23/2020,$20.56,413284160
12/22/2020,$19.48,491003520
12/21/2020,$15.52,158018048
12/18/2020,$15.64,265900480
12/17/2020,$14.84,131118432
12/16/2020,$13.84,93841968
12/15/2020,$13.84,131085696
12/14/2020,$12.72,160113440
12/11/2020,$13.32,119949888
12/10/2020,$14.12,120942752
12/09/2020,$13.68,389727040
12/08/2020,$16.96,257922560
12/07/2020,$16.36,118180128
12/04/2020,$16.92,143562752
12/03/2020,$16.12,100719440
12/02/2020,$16.60,126134080
12/01/2020,$15.80,202656480
11/30/2020,$16.56,511736000
11/27/2020,$16.08,200067200
11/25/2020,$14.76,141761472
11/24/2020,$13.68,114987360
11/23/2020,$13.92,153727568
11/20/2020,$12.72,134437552
11/19/2020,$12.48,188601760
11/18/2020,$11.56,50707552
11/17/2020,$11.64,106850816
11/16/2020,$12.08,156397184
11/13/2020,$11.00,56738736
11/12/2020,$11.12,69694272
11/11/2020,$11.76,78121104
11/10/2020,$11.12,61215408
11/09/2020,$11.48,99917840
11/06/2020,$11.88,88291888
11/05/2020,$11.44,75283920
11/04/2020,$10.92,92925936
11/03/2020,$11.56,119271552
11/02/2020,$10.76,83632176
10/30/2020,$10.48,184997920
10/29/2020,$11.72,66653488
10/28/2020,$11.84,102217280
10/27/2020,$12.68,115696096
10/26/2020,$13.44,214020320
10/23/2020,$15.00,104117184
10/22/2020,$14.92,259395680
10/21/2020,$14.12,85790848
10/20/2020,$13.88,105663216
10/19/2020,$13.92,210705120
10/16/2020,$13.32,186425280
10/15/2020,$13.84,638317120
10/14/2020,$12.24,172428160
10/13/2020,$11.88,162875360
10/12/2020,$11.80,378491200
10/09/2020,$12.04,1234444480
10/08/2020,$13.48,1223256960
10/07/2020,$9.36,52938304
10/06/2020,$9.12,72566736
10/05/2020,$9.48,44879504
10/02/2020,$9.40,69447744
10/01/2020,$9.76,72864880
09/30/2020,$10.20,97264528
09/29/2020,$10.36,83909424
